lead_id,created_at,demo_scheduled_at,delay_hours,priority,parent_timezone,rep_assigned,rep_shift,follow_up_attempts,demo_joined,demo_completed,converted,action
L101186,2026-07-22 00:50:00,2026-08-03 06:16:00,293.43333333333334,HIGH,America/New_York,AD-07,IST_SHIFT,3,Y,Y,N,Attempt to reschedule demo within 48h or escalate
L101949,2026-07-29 14:22:00,2026-08-10 19:23:00,293.01666666666665,HIGH,Europe/London,AD-09,IST_SHIFT,3,N,N,N,Attempt to reschedule demo within 48h or escalate
L104788,2026-07-29 15:49:00,2026-08-10 19:41:00,291.8666666666667,HIGH,America/New_York,AD-04,US_SHIFT,2,Y,Y,Y,Attempt to reschedule demo within 48h or escalate
L101402,2026-07-24 13:21:00,2026-08-05 00:19:00,274.96666666666664,HIGH,America/New_York,AD-10,SEA_SHIFT,4,N,N,N,Attempt to reschedule demo within 48h or escalate
L101876,2026-07-03 19:44:00,2026-07-14 20:19:00,264.5833333333333,HIGH,Asia/Ho_Chi_Minh,AD-09,IST_SHIFT,3,Y,Y,N,Attempt to reschedule demo within 48h or escalate
L103450,2026-07-04 09:21:00,2026-07-15 08:31:00,263.1666666666667,HIGH,America/New_York,AD-08,IST_SHIFT,3,Y,Y,N,Attempt to reschedule demo within 48h or escalate
L104792,2026-07-31 09:00:00,2026-08-10 21:09:00,252.15,HIGH,Asia/Dubai,AD-06,IST_SHIFT,2,Y,Y,Y,Attempt to reschedule demo within 48h or escalate
L100391,2026-06-09 02:44:00,2026-06-19 12:29:00,249.75,HIGH,Asia/Ho_Chi_Minh,AD-02,US_SHIFT,1,N,N,N,Attempt to reschedule demo within 48h or escalate
L101527,2026-06-13 08:16:00,2026-06-23 15:19:00,247.05,HIGH,America/New_York,AD-02,US_SHIFT,2,N,N,N,Attempt to reschedule demo within 48h or escalate
L103427,2026-07-21 13:09:00,2026-07-31 19:02:00,245.88333333333333,HIGH,Asia/Kolkata,AD-09,IST_SHIFT,2,N,N,N,Attempt to reschedule demo within 48h or escalate
L104283,2026-06-21 04:04:00,2026-07-01 09:09:00,245.08333333333334,HIGH,Asia/Ho_Chi_Minh,AD-01,US_SHIFT,1,Y,Y,N,Attempt to reschedule demo within 48h or escalate
L103655,2026-06-11 17:15:00,2026-06-21 21:32:00,244.28333333333333,HIGH,Europe/London,AD-01,US_SHIFT,6,Y,Y,N,Attempt to reschedule demo within 48h or escalate
L101823,2026-07-25 13:53:00,2026-08-04 16:21:00,242.46666666666667,HIGH,Asia/Ho_Chi_Minh,AD-10,SEA_SHIFT,3,N,N,N,Attempt to reschedule demo within 48h or escalate
L102488,2026-06-26 17:25:00,2026-07-06 16:27:00,239.03333333333333,HIGH,America/New_York,AD-06,IST_SHIFT,1,N,N,N,Attempt to reschedule demo within 48h or escalate
L102730,2026-07-25 15:49:00,2026-08-04 12:46:00,236.95,HIGH,America/New_York,AD-01,US_SHIFT,0,N,N,N,Attempt to reschedule demo within 48h or escalate
L102710,2026-06-21 05:36:00,2026-07-01 02:11:00,236.58333333333334,HIGH,America/New_York,AD-09,IST_SHIFT,3,N,N,N,Attempt to reschedule demo within 48h or escalate
L104076,2026-06-09 03:54:00,2026-06-18 23:31:00,235.61666666666667,HIGH,Asia/Riyadh,AD-03,US_SHIFT,3,N,N,N,Attempt to reschedule demo within 48h or escalate
L100086,2026-07-18 00:58:00,2026-07-27 19:11:00,234.21666666666667,HIGH,America/New_York,AD-06,IST_SHIFT,6,Y,Y,N,Attempt to reschedule demo within 48h or escalate
L103431,2026-07-22 05:53:00,2026-07-31 23:45:00,233.86666666666667,HIGH,Asia/Dubai,AD-02,US_SHIFT,5,N,N,N,Attempt to reschedule demo within 48h or escalate
L102516,2026-07-14 19:29:00,2026-07-24 11:34:00,232.08333333333334,HIGH,America/New_York,AD-03,US_SHIFT,6,Y,Y,Y,Attempt to reschedule demo within 48h or escalate
L101872,2026-06-28 03:50:00,2026-07-07 18:30:00,230.66666666666666,HIGH,America/New_York,AD-03,US_SHIFT,0,Y,Y,Y,Attempt to reschedule demo within 48h or escalate
L104290,2026-06-20 09:34:00,2026-06-29 23:01:00,229.45,HIGH,Asia/Ho_Chi_Minh,AD-05,IST_SHIFT,0,Y,Y,Y,Attempt to reschedule demo within 48h or escalate
L103333,2026-07-04 16:24:00,2026-07-14 05:32:00,229.13333333333333,HIGH,Asia/Riyadh,AD-09,IST_SHIFT,3,Y,Y,N,Attempt to reschedule demo within 48h or escalate
L101767,2026-07-02 15:18:00,2026-07-12 04:00:00,228.7,HIGH,Asia/Ho_Chi_Minh,AD-07,IST_SHIFT,0,N,N,N,Attempt to reschedule demo within 48h or escalate
L103039,2026-06-05 19:54:00,2026-06-15 05:51:00,225.95,HIGH,Australia/Sydney,AD-01,US_SHIFT,4,Y,Y,N,Attempt to reschedule demo within 48h or escalate
L104926,2026-06-10 02:49:00,2026-06-19 11:41:00,224.86666666666667,HIGH,Asia/Kolkata,AD-04,US_SHIFT,3,Y,Y,N,Attempt to reschedule demo within 48h or escalate
L101118,2026-06-22 18:44:00,2026-07-02 02:33:00,223.81666666666666,HIGH,Europe/London,AD-03,US_SHIFT,1,N,N,N,Attempt to reschedule demo within 48h or escalate
L103725,2026-07-23 10:43:00,2026-08-01 18:00:00,223.28333333333333,HIGH,America/New_York,AD-02,US_SHIFT,2,N,N,N,Attempt to reschedule demo within 48h or escalate
L104372,2026-07-03 16:01:00,2026-07-12 23:18:00,223.28333333333333,HIGH,Asia/Ho_Chi_Minh,AD-11,SEA_SHIFT,4,Y,Y,Y,Attempt to reschedule demo within 48h or escalate
L103998,2026-07-03 19:22:00,2026-07-13 01:59:00,222.61666666666667,HIGH,America/New_York,AD-04,US_SHIFT,1,Y,Y,N,Attempt to reschedule demo within 48h or escalate
L100552,2026-06-03 01:36:00,2026-06-12 06:51:00,221.25,HIGH,Asia/Ho_Chi_Minh,AD-08,IST_SHIFT,0,N,N,N,Attempt to reschedule demo within 48h or escalate
L102489,2026-07-02 22:57:00,2026-07-12 01:45:00,218.8,HIGH,Asia/Singapore,AD-03,US_SHIFT,2,N,N,N,Attempt to reschedule demo within 48h or escalate
